moment_id,set_id,play_id,serialNumber
1767614,26,523,315
1902512,26,529,2933
1789428,26,524,124
2018041,26,535,689
2085427,26,540,8075
2305620,26,559,268
2065512,26,539,160
1590550,26,459,8452
1678710,26,463,9006
1692403,26,480,9713
1698545,26,487,9610
1704095,26,492,9169
1402092,26,494,7244
1716015,26,506,9347
1714715,26,508,9172
1470743,26,457,5770
1697572,26,484,9386
1663192,26,383,9970
1532639,26,473,6791
1065731,26,468,2442
1003789,26,456,2875
1421026,26,464,5428
1453750,26,489,7402
1511099,26,389,5126
1719755,26,510,9966
1579737,26,398,8764
1664791,26,387,9946
1700828,26,490,9771
1665920,26,405,9078
1717119,26,509,9451
1318327,26,474,4037
1965119,26,501,11152
1878035,26,528,711
2186173,26,549,4571
2351843,26,562,10741
2171745,26,547,10768
1595347,26,462,8249
2175902,26,548,1925
2243004,26,553,9652
1661862,26,394,9266
1667949,26,400,9111
2291448,26,557,6471
2445385,26,396,13655
2424189,26,411,13459
2622752,26,558,12397
2489722,26,535,12492
2045644,26,537,3917
1780609,26,407,11307
2544129,26,544,12149
1479585,26,398,5862
1640537,26,491,8439
1485618,26,468,6270
1458184,26,469,5336
2381722,26,565,4370
1599319,26,465,8471
2328356,26,560,11004
2151449,26,546,1972
1487119,26,395,6771
1223300,26,496,1760
1536806,26,473,7333
1263398,26,486,3858
1374688,26,466,5590
1219577,26,495,1287
1202345,26,507,1555
884908,26,388,1759
1038030,26,474,1366
1003526,26,470,112
1004589,26,480,50
750256,2,293,230
1543907,32,519,184
560615,2,60,2476
866765,26,386,1866
2177039,26,549,937
1856017,26,527,698
1059329,26,477,1540
2202495,26,550,5143
1184849,26,501,309
1030741,26,479,577
2097638,26,542,2036
2690914,32,621,6714
533600,2,48,2364
1906889,26,529,6059
1531456,26,481,6983
1416726,26,463,5128
1256735,26,501,2945
1765769,26,398,11720
2150833,26,546,1481
1890314,26,528,8239
2200224,26,550,2872
1746815,26,522,1396
1636924,26,481,8451
1547082,32,517,1859
1075827,26,461,2288
1522717,26,481,5869
926560,26,387,3536
1488162,26,395,6939
2285001,26,557,2899
2641405,26,394,14050
2415265,26,529,14410
2580061,26,543,12831
1868580,26,480,11133
2545075,26,544,12720
2355729,26,563,2252
2130093,26,544,4116
1780342,26,523,7915
2654110,32,616,3535
2457032,26,478,12677
1014180,26,456,3016
1290895,26,395,4605
1100105,26,466,3816
873197,26,412,923
1327420,26,483,4630
1283192,26,385,4152
1303606,26,459,4316
1296633,26,399,4593
1337287,26,491,4872
1246192,26,486,3527
918782,26,387,3258
1303490,26,458,4075
1017108,26,467,194
1356929,26,512,4764
1209342,26,503,1427
1317913,26,476,4123
1224409,26,506,2744
916290,26,405,2891
853181,26,401,657
1231780,26,498,2240
1325823,26,478,4783
1300249,26,405,4584
1329841,26,488,4301
1318835,26,474,4295
1313722,26,468,4182
1231210,26,508,1420
848506,26,408,357
1085276,26,458,3987
1169842,26,486,2177
1370725,26,401,6002
1363355,26,383,6257
1478901,26,395,6678
93907,6,113,567
767111,25,333,61
2147905,26,545,10553
467743,2,200,1349
1096726,26,482,3437
920585,26,388,3436
1094290,26,470,3626
877435,26,386,2161
1137416,2,132,3838
2509366,26,461,12136
1202662,26,510,1372
1680625,26,463,9546
1890340,26,489,11140
1229975,26,505,2435
689437,5,215,280
805381,2,109,3396
402892,2,209,863
529479,2,247,860
2189617,26,549,6265
1829332,26,525,10894
768416,25,342,116
1669870,26,398,9531
1840307,26,526,4991
2119081,26,543,5729
1970029,26,501,11562
1621097,26,480,8499
1911393,26,490,11312
1613390,26,468,8917
2071443,26,539,6091
1898374,26,483,11795
1686438,26,469,9740
2172423,26,547,11196
1939486,26,530,9148
1742776,26,521,11610
1998161,26,511,10312
1709113,26,503,9188
1916953,26,492,11369
1991738,26,533,8892
87435,2,77,403
89592,2,42,410
90565,2,90,411
92232,2,115,433
92185,2,141,422
94649,2,66,437
91134,2,65,423
92750,2,87,430
94184,2,32,423
93352,2,104,428
91832,2,35,429
92245,2,28,419
90842,2,77,428
92120,2,95,420
94466,2,99,433
94627,2,122,432
112324,2,92,502
84848,2,142,394
80598,2,104,374
81596,2,94,378
163000,2,16,777
160017,2,56,777
160567,2,22,774
160883,2,124,775
161044,2,19,777
160334,2,43,779
159665,2,42,771
163910,2,28,788
164978,2,139,799
168967,2,42,830
172195,2,107,830
171621,2,140,833
170322,2,73,810
167653,2,77,811
167900,2,51,822
168091,2,52,824
171269,2,79,817
173597,2,135,835
172406,2,51,837
172201,2,107,836
170394,2,57,818
210489,2,65,1006
43842,2,11,180
61615,2,86,274
61702,2,105,284
249293,2,4,1203
250759,2,90,1197
244816,2,85,1192
249693,2,170,319
251280,2,107,1211
255062,2,8,1245
254256,2,85,1235
258048,2,47,1252
250904,2,138,1185
250785,2,169,350
251088,2,42,1209
249120,2,87,1209
221734,2,148,1025
223305,2,107,1087
224358,2,140,1086
214153,2,75,1013
215348,2,87,1063
252322,2,135,1233
253260,2,73,1202
251855,2,65,1195
210849,2,139,1022
250926,2,98,1237
222069,2,85,1086
217122,2,112,1085
212454,2,83,1052
212577,2,52,1040
214141,2,93,1033
223794,2,6,1080
220557,2,77,1084
256234,2,167,368
272536,2,22,1262
307616,2,58,1470
316261,2,175,239
304895,2,121,1441
332081,2,215,336
324836,2,208,304
340886,2,98,1594
333334,2,98,1567
325461,2,52,1538
326207,2,172,692
334387,2,202,350
271037,2,150,1292
